FULL_ADDRESS,PRICE,BEDS,BATHS,SQUARE_FEET,PRICE_PER_SQFT,STREET,CITY,ZIP_CODE,LATITUDE,LONGITUDE,LOT_SIZE,YEAR_BUILT,HOA_PER_MONTH,HOA_30_YEARS,MORTGAGE_RATE_24_APRIL_2025,CLOSING_COST,DOWNPAYMENT_20PERCENT,LOAN_AMOUNT,LOAN_TENURE_MONTHS,MONTHLY_EMI,TOTAL_INTEREST_30_YEARS,AVERAGE_YEARLY_ZHVI_PERCENTAGE_CHANGE,ESTIMATED_HOME_VALUE_APPRECIATED_AFTER_30_YEARS,ANNUAL_PROPERTY_TAXES,ESTIMATED_PROPERTY_TAXES_AFTER_30_YEARS,AVERAGE_ANNUAL_INSURANCE_COST,ESTIMATED_INSURANCE_COST_AFTER_30_YEARS,ESTIMATED_HOME_MAINTENANCE_AFTER_30_YEARS,TOTAL_COSTS_AFTER_30_YEARS,ESTIMATED_NET_VALUE_GAIN_AFTER_30_YEARS,REITS_INVESTMENT_30_YEARS_WITH_COMPOUNDING_INTEREST,ESTIMATED_FTSE_NAREIT_30_YEARS_RETURNS
"5 Sumo Ct, Sacramento, CA 95828","$299,000",2,2,"1,053",$283.95,Sumo Ct,Sacramento,95828,38.5041079,-121.4198187,"6,970",,$0,$0,6.81%,"$10,465.00","$59,800","$239,200",360,"$1,561.00","$322,759.54",6.69%,"$600,138.44",1.15%,"$139,614.64","$1,415.00","$42,450.00","$31,590.00","$546,879.18","-$6,540.74",538.48%,"$322,008.65"
"8279 Crimson Sage Ct, Sacramento, CA 95829","$735,000",4,3,"2,675",$274.77,Crimson Sage Ct,Sacramento,95829,38.457066,-121.3188455,"9,200",,$0,$0,6.81%,"$25,725.00","$147,000","$588,000",360,"$3,837.24","$793,405.56",5.83%,"$1,284,564.97",1.15%,"$343,199.86","$1,399.00","$41,970.00","$80,250.00","$1,284,550.42","-$146,985.45",538.48%,"$791,559.71"
"6007 3rd Ave, Sacramento, CA 95817","$599,900",3,1,"1,146",$523.47,3rd Ave,Sacramento,95817,38.5484513,-121.4350537,"4,792",,$0,$0,6.81%,"$20,996.50","$119,980","$479,920",360,"$3,131.92","$647,570.06",8.95%,"$1,611,314.08",1.15%,"$280,116.46","$1,403.00","$42,090.00","$34,380.00","$1,025,153.02","$466,181.05",538.48%,"$646,063.50"
"4259 13th Ave, Sacramento, CA 95820","$150,000",4,2,"1,450",$103.45,13th Ave,Sacramento,95820,38.5405736,-121.4567322,"4,356",,$0,$0,6.81%,"$5,250.00","$30,000","$120,000",360,$783.11,"$161,919.50",7.64%,"$343,795.49",1.15%,"$70,040.79","$1,406.00","$42,180.00","$43,500.00","$322,890.29","-$9,094.80",538.48%,"$161,542.80"
"8108 Port Royale Way, Sacramento, CA 95823","$380,000",2,1,779,$487.80,Port Royale Way,Sacramento,95823,38.463652,-121.4390633,"4,121",,$0,$0,6.81%,"$13,300.00","$76,000","$304,000",360,"$1,983.88","$410,196.07",7.31%,"$832,928.75",1.15%,"$177,436.66","$1,430.00","$42,900.00","$23,370.00","$667,202.74","$89,726.02",538.48%,"$409,241.76"
"2078 Gravel Bar Way, Sacramento, CA 95832","$718,077",5,3,"2,500",$287.23,Gravel Bar Way,Sacramento,95832,38.4644106,-121.4875948,"4,000",,$125,"$45,000",6.81%,"$25,132.70","$143,615","$574,462",360,"$3,748.89","$775,137.80",7.32%,"$1,576,204.90",1.15%,"$335,297.86","$1,422.00","$42,660.00","$75,000.00","$1,298,228.36","$134,361.14",538.48%,"$773,334.45"
"3608 Mahogany St, Sacramento, CA 95838","$299,000",3,1,"1,138",$262.74,Mahogany St,Sacramento,95838,38.6331862,-121.4230574,"6,098",,$0,$0,6.81%,"$10,465.00","$59,800","$239,200",360,"$1,561.00","$322,759.54",7.85%,"$704,003.04",1.15%,"$139,614.64","$1,411.00","$42,330.00","$34,140.00","$549,309.18","$94,893.86",538.48%,"$322,008.65"
"9320 Meringue Ct, Sacramento, CA 95829","$799,000",5,4,"3,141",$254.38,Meringue Ct,Sacramento,95829,38.4836541,-121.3532304,"6,830",,$0,$0,6.81%,"$27,965.00","$159,800","$639,200",360,"$4,171.36","$862,491.21",5.83%,"$1,396,418.25",1.15%,"$373,083.93","$1,399.00","$41,970.00","$94,230.00","$1,399,740.15","-$163,121.90",538.48%,"$860,484.64"
"5200 Elbert Way, Sacramento, CA 95842","$534,838",4,2,"1,658",$322.58,Elbert Way,Sacramento,95842,38.6813403,-121.3431198,"7,840",,$0,$0,6.81%,"$18,719.33","$106,968","$427,870",360,"$2,792.25","$577,338.02",7.08%,"$1,136,204.51",1.15%,"$249,736.50","$1,421.00","$42,630.00","$49,740.00","$938,163.85","$91,073.06",538.48%,"$575,994.85"
"341 Perazul Cir, Sacramento, CA 95835","$562,500",2,2,"1,738",$323.65,Perazul Cir,Sacramento,95835,38.6823284,-121.5273726,"9,836",,$315,"$113,400",6.81%,"$19,687.50","$112,500","$450,000",360,"$2,936.66","$607,198.13",5.32%,"$898,591.50",1.15%,"$262,652.96","$1,396.00","$41,880.00","$52,140.00","$1,096,958.59","-$310,867.09",538.48%,"$605,785.49"
"3160 Del Paso Blvd, Sacramento, CA 95815","$359,000",2,1,886,$405.19,Del Paso Blvd,Sacramento,95815,38.6250207,-121.4279945,"4,792",,$0,$0,6.81%,"$12,565.00","$71,800","$287,200",360,"$1,874.24","$387,527.34",8.34%,"$898,464.29",1.15%,"$167,630.95","$1,421.00","$42,630.00","$26,580.00","$636,933.30","$189,731.00",538.48%,"$386,625.76"
"7444 Chatterton Way, Sacramento, CA 95829","$399,000",2,2,996,$400.60,Chatterton Way,Sacramento,95829,38.4873324,-121.3364489,"2,370",,$145,"$52,200",6.81%,"$13,965.00","$79,800","$319,200",360,"$2,083.07","$430,705.88",5.83%,"$697,335.27",1.15%,"$186,308.50","$1,399.00","$41,970.00","$29,880.00","$755,029.37","-$137,494.10",538.48%,"$429,703.84"
"5 Beryl Ct, Sacramento, CA 95834","$624,900",3,2,"2,367",$264.01,Beryl Ct,Sacramento,95834,38.6403928,-121.5115677,"7,388",,$25,"$9,000",6.81%,"$21,871.50","$124,980","$499,920",360,"$3,262.44","$674,556.65",5.80%,"$1,086,624.79",1.15%,"$291,789.93","$1,392.00","$41,760.00","$71,010.00","$1,109,988.07","-$148,343.28",538.48%,"$672,987.30"
"8565 Caselman Rd, Sacramento, CA 95828","$571,042",3,2,"1,360",$419.88,Caselman Rd,Sacramento,95828,38.4728243,-121.3856225,"6,321",,$0,$0,6.81%,"$19,986.47","$114,208","$456,834",360,"$2,981.26","$616,418.91",6.69%,"$1,146,168.07",1.15%,"$266,641.55","$1,415.00","$42,450.00","$40,800.00","$986,296.93","$45,662.75",538.48%,"$614,984.82"
"3650 La Habra Way, Sacramento, CA 95864","$899,900",4,3,"1,780",$505.56,La Habra Way,Sacramento,95864,38.582677,-121.379221,"14,702",,$0,$0,6.81%,"$31,496.50","$179,980","$719,920",360,"$4,698.14","$971,409.07",5.15%,"$1,390,398.87",1.15%,"$420,198.04","$1,415.00","$42,450.00","$53,400.00","$1,518,953.60","-$308,534.74",538.48%,"$969,149.10"
"2797 Screech Owl Way, Sacramento, CA 95834","$650,000",4,3,"2,648",$245.47,Screech Owl Way,Sacramento,95834,38.6321155,-121.5267957,"5,645",,$0,$0,6.81%,"$22,750.00","$130,000","$520,000",360,"$3,393.48","$701,651.18",5.80%,"$1,130,270.62",1.15%,"$303,510.08","$1,392.00","$41,760.00","$79,440.00","$1,149,111.26","-$148,840.64",538.48%,"$700,018.79"
"550 Natalino Cir, Sacramento, CA 95835","$494,900",3,3,"1,635",$302.69,Natalino Cir,Sacramento,95835,38.6727666,-121.5048998,"2,222",,$108,"$38,880",6.81%,"$17,321.50","$98,980","$395,920",360,"$2,583.74","$534,226.41",5.32%,"$790,600.77",1.15%,"$231,087.91","$1,396.00","$41,880.00","$49,050.00","$912,445.82","-$220,825.05",538.48%,"$532,983.54"
"9545 Bartonia Ct, Sacramento, CA 95829","$699,900",4,3,"2,295",$304.97,Bartonia Ct,Sacramento,95829,38.4859295,-121.3432965,"10,925",,$0,$0,6.81%,"$24,496.50","$139,980","$559,920",360,"$3,653.99","$755,516.40",5.83%,"$1,223,220.44",1.15%,"$326,810.32","$1,399.00","$41,970.00","$68,850.00","$1,217,643.22","-$134,402.78",538.48%,"$753,758.70"
"1331 Diamond Ave, Sacramento, CA 95815","$364,900",2,1,"1,073",$340.07,Diamond Ave,Sacramento,95815,38.6275475,-121.4362908,"8,712",,$0,$0,6.81%,"$12,771.50","$72,980","$291,920",360,"$1,905.04","$393,896.18",8.34%,"$913,230.14",1.15%,"$170,385.89","$1,421.00","$42,630.00","$32,190.00","$651,873.57","$188,376.57",538.48%,"$392,979.78"
"2280 Hurley Way #76, Sacramento, CA 95825","$285,000",2,2,"1,278",$223.00,Hurley Way #76,Sacramento,95825,38.5875723,-121.4120714,"1,278",,$637,"$229,320",6.81%,"$9,975.00","$57,000","$228,000",360,"$1,487.91","$307,647.05",5.67%,"$484,830.67",1.15%,"$133,077.50","$1,382.00","$41,460.00","$38,340.00","$759,819.55","-$331,988.89",538.48%,"$306,931.32"
"1832 Woodstock Way, Sacramento, CA 95825","$469,900",3,2,"1,424",$329.99,Woodstock Way,Sacramento,95825,38.5992702,-121.4093142,"8,276",,$0,$0,6.81%,"$16,446.50","$93,980","$375,920",360,"$2,453.22","$507,239.83",5.67%,"$799,375.19",1.15%,"$219,414.44","$1,382.00","$41,460.00","$42,720.00","$827,280.77","-$121,885.58",538.48%,"$506,059.74"
"4740 14th Ave, Sacramento, CA 95820","$450,000",3,2,"1,132",$397.53,14th Ave,Sacramento,95820,38.5392463,-121.4507218,"4,356",,$0,$0,6.81%,"$15,750.00","$90,000","$360,000",360,"$2,349.33","$485,758.51",7.64%,"$1,031,386.47",1.15%,"$210,122.37","$1,406.00","$42,180.00","$33,960.00","$787,770.87","$153,615.60",538.48%,"$484,628.40"
"1215 Albright Walk, Sacramento, CA 95818","$849,900",4,4,"1,998",$425.38,Albright Walk,Sacramento,95818,38.5670476,-121.4949816,"2,448",,$105,"$37,800",6.81%,"$29,746.50","$169,980","$679,920",360,"$4,437.10","$917,435.90",5.16%,"$1,315,723.71",1.15%,"$396,851.11","$1,386.00","$41,580.00","$59,940.00","$1,483,353.51","-$337,609.80",538.48%,"$915,301.50"
"2543 Judith Resnik Ave, Sacramento, CA 95834","$484,000",2,3,"1,309",$369.75,Judith Resnik Ave,Sacramento,95834,38.6409948,-121.5178335,"1,965",,$72,"$25,920",6.81%,"$16,940.00","$96,800","$387,200",360,"$2,526.83","$522,460.26",5.80%,"$841,616.89",1.15%,"$225,998.28","$1,392.00","$41,760.00","$39,270.00","$872,348.54","-$127,531.64",538.48%,"$521,244.76"
"3041 San Carlos Way, Sacramento, CA 95817","$410,000",3,2,"1,005",$407.96,San Carlos Way,Sacramento,95817,38.5460982,-121.4612625,"4,356",,$0,$0,6.81%,"$14,350.00","$82,000","$328,000",360,"$2,140.50","$442,579.97",8.95%,"$1,101,248.16",1.15%,"$191,444.82","$1,403.00","$42,090.00","$30,150.00","$720,614.79","$298,633.37",538.48%,"$441,550.32"
"5705 Andrea Blvd, Sacramento, CA 95842","$469,000",4,2,"1,353",$346.64,Andrea Blvd,Sacramento,95842,38.6967935,-121.3314434,"6,469",,$0,$0,6.81%,"$16,415.00","$93,800","$375,200",360,"$2,448.52","$506,268.31",7.08%,"$996,338.92",1.15%,"$218,994.20","$1,421.00","$42,630.00","$40,590.00","$824,897.51","$77,641.41",538.48%,"$505,090.48"
"6913 Forman Way, Sacramento, CA 95828","$449,900",4,2,"1,146",$392.58,Forman Way,Sacramento,95828,38.5017139,-121.4222326,"6,098",,$0,$0,6.81%,"$15,746.50","$89,980","$359,920",360,"$2,348.81","$485,650.56",6.69%,"$903,017.67",1.15%,"$210,075.67","$1,415.00","$42,450.00","$34,380.00","$788,302.73","$24,734.94",538.48%,"$484,520.70"
"7761 Splendid Way, Elk Grove, CA 95758","$618,000",3,2,"1,645",$375.68,Splendid Way,Elk Grove,95758,38.44087,-121.4090098,"7,941",,$0,$0,6.81%,"$21,630.00","$123,600","$494,400",360,"$3,226.41","$667,108.35",5.94%,"$1,101,184.33",1.15%,"$288,568.05","$1,365.00","$40,950.00","$49,350.00","$1,067,606.40","-$90,022.06",538.48%,"$665,556.33"
"2231 23rd St, Sacramento, CA 95818","$499,990",2,1,"1,111",$450.04,23rd St,Sacramento,95818,38.561412,-121.4817438,"3,049",,$0,$0,6.81%,"$17,499.65","$99,998","$399,992",360,"$2,610.31","$539,720.88",5.16%,"$774,030.70",1.15%,"$233,464.63","$1,386.00","$41,580.00","$33,330.00","$865,595.16","-$191,562.45",538.48%,"$538,465.23"
"304 Cinema St, Sacramento, CA 95823","$544,900",4,3,"1,826",$298.41,Cinema St,Sacramento,95823,38.4507995,-121.4435789,"3,106",,$100,"$36,000",6.81%,"$19,071.50","$108,980","$435,920",360,"$2,844.78","$588,199.58",7.31%,"$1,194,375.99",1.15%,"$254,434.84","$1,430.00","$42,900.00","$54,780.00","$995,385.92","$90,010.08",538.48%,"$586,831.14"
"7450 Hanfield Dr, Sacramento, CA 95829","$799,900",4,4,"3,427",$233.41,Hanfield Dr,Sacramento,95829,38.4870194,-121.3491008,"6,050",,$0,$0,6.81%,"$27,996.50","$159,980","$639,920",360,"$4,176.06","$863,462.73",5.83%,"$1,397,991.18",1.15%,"$373,504.18","$1,399.00","$41,970.00","$102,810.00","$1,409,743.41","-$171,732.23",538.48%,"$861,453.90"
"3191 Eastsac Walk, Sacramento, CA 95816","$949,900",3,4,"2,045",$464.50,Eastsac Walk,Sacramento,95816,38.5703148,-121.4644523,"1,542",,$129,"$46,440",6.81%,"$33,246.50","$189,980","$759,920",360,"$4,959.17","$1,025,382.23",5.32%,"$1,515,007.40",1.15%,"$443,544.97","$1,377.00","$41,310.00","$61,350.00","$1,651,273.70","-$326,246.30",538.48%,"$1,022,996.70"
"5301 E Commerce Way #9101, Sacramento, CA 95835","$399,000",2,2,"1,639",$243.44,E Commerce Way #9101,Sacramento,95835,38.6731199,-121.536247,"945,688",,$435,"$156,600",6.81%,"$13,965.00","$79,800","$319,200",360,"$2,083.07","$430,705.88",5.32%,"$637,400.91",1.15%,"$186,308.50","$1,396.00","$41,880.00","$49,170.00","$878,629.37","-$321,028.47",538.48%,"$429,703.84"
"1965 Delafield Way, Sacramento, CA 95835","$730,000",5,4,"2,724",$267.99,Delafield Way,Sacramento,95835,38.6627955,-121.503508,"6,952",,$91,"$32,760",6.81%,"$25,550.00","$146,000","$584,000",360,"$3,811.13","$788,008.24",5.32%,"$1,166,172.08",1.15%,"$340,865.17","$1,396.00","$41,880.00","$81,720.00","$1,310,783.41","-$290,611.33",538.48%,"$786,174.95"
"1021 Frienza Ave, Sacramento, CA 95815","$260,000",2,1,690,$376.81,Frienza Ave,Sacramento,95815,38.6131185,-121.4428222,"4,792",,$0,$0,6.81%,"$9,100.00","$52,000","$208,000",360,"$1,357.39","$280,660.47",8.34%,"$650,698.37",1.15%,"$121,404.03","$1,421.00","$42,630.00","$20,700.00","$474,494.50","$124,203.87",538.48%,"$280,007.52"
"800 Evans St, Sacramento, CA 95838","$337,500",3,2,"1,330",$253.76,Evans St,Sacramento,95838,38.627028,-121.4472472,"4,792",,$0,$0,6.81%,"$11,812.50","$67,500","$270,000",360,"$1,762.00","$364,318.88",7.85%,"$794,652.27",1.15%,"$157,591.77","$1,411.00","$42,330.00","$39,900.00","$615,953.15","$111,199.11",538.48%,"$363,471.30"
"2789 Mendel Way, Sacramento, CA 95833","$450,000",4,2,"1,340",$335.82,Mendel Way,Sacramento,95833,38.6149526,-121.4897182,"6,534",,$0,$0,6.81%,"$15,750.00","$90,000","$360,000",360,"$2,349.33","$485,758.51",6.16%,"$831,694.66",1.15%,"$210,122.37","$1,402.00","$42,060.00","$40,200.00","$793,890.87","-$52,196.21",538.48%,"$484,628.40"
"7827 Shrader Cir, Sacramento, CA 95832","$305,000",4,2,"1,327",$229.84,Shrader Cir,Sacramento,95832,38.4730254,-121.4681233,"6,534",,$0,$0,6.81%,"$10,675.00","$61,000","$244,000",360,"$1,592.32","$329,236.32",7.32%,"$669,486.00",1.15%,"$142,416.27","$1,422.00","$42,660.00","$39,810.00","$564,797.59","$43,688.40",538.48%,"$328,470.36"
"5528 Brinef Dr, Sacramento, CA 95841","$450,000",3,3,"1,400",$321.43,Brinef Dr,Sacramento,95841,38.6732051,-121.3355527,"1,564",,$212,"$76,320",6.81%,"$15,750.00","$90,000","$360,000",360,"$2,349.33","$485,758.51",6.78%,"$914,657.99",1.15%,"$210,122.37","$1,404.00","$42,120.00","$42,000.00","$872,070.87","-$47,412.89",538.48%,"$484,628.40"
"7754 18th St, Sacramento, CA 95832","$495,000",4,2,"1,596",$310.15,18th St,Sacramento,95832,38.4755609,-121.4973641,"6,098",,$0,$0,6.81%,"$17,325.00","$99,000","$396,000",360,"$2,584.26","$534,334.36",7.32%,"$1,086,542.84",1.15%,"$231,134.60","$1,422.00","$42,660.00","$47,880.00","$873,333.96","$114,208.89",538.48%,"$533,091.24"
"9179 Rose Parade Way, Sacramento, CA 95826","$439,950",3,2,"1,176",$374.11,Rose Parade Way,Sacramento,95826,38.5372069,-121.3588702,"4,600",,$0,$0,6.81%,"$15,398.25","$87,990","$351,960",360,"$2,296.86","$474,909.90",6.09%,"$804,359.64",1.15%,"$205,429.63","$1,404.00","$42,120.00","$35,280.00","$773,137.78","-$56,768.14",538.48%,"$473,805.03"
"530 Morrison Ave, Sacramento, CA 95838","$360,000",3,1,"1,082",$332.72,Morrison Ave,Sacramento,95838,38.6374987,-121.4541803,"6,534",,$0,$0,6.81%,"$12,600.00","$72,000","$288,000",360,"$1,879.46","$388,606.80",7.85%,"$847,629.08",1.15%,"$168,097.89","$1,411.00","$42,330.00","$32,460.00","$644,094.70","$131,534.39",538.48%,"$387,702.72"
"4472 Adriatic Sea Way, Sacramento, CA 95834","$515,000",4,3,"1,763",$292.12,Adriatic Sea Way,Sacramento,95834,38.6520966,-121.5430475,"2,335",,$41,"$14,760",6.81%,"$18,025.00","$103,000","$412,000",360,"$2,688.68","$555,923.62",5.80%,"$895,522.11",1.15%,"$240,473.37","$1,392.00","$41,760.00","$52,890.00","$923,832.00","-$131,309.89",538.48%,"$554,630.28"
"7248 Candlestick Way, Sacramento, CA 95842","$439,900",3,2,"1,054",$417.36,Candlestick Way,Sacramento,95842,38.699166,-121.331102,"7,000",,$0,$0,6.81%,"$15,396.50","$87,980","$351,920",360,"$2,296.60","$474,855.93",7.08%,"$934,519.17",1.15%,"$205,406.29","$1,421.00","$42,630.00","$31,620.00","$769,908.71","$76,630.46",538.48%,"$473,751.18"
"45 Farallon Cir, Sacramento, CA 95831","$579,900",3,2,"1,350",$429.56,Farallon Cir,Sacramento,95831,38.4914582,-121.5404349,"6,970",,$0,$0,6.81%,"$20,296.50","$115,980","$463,920",360,"$3,027.50","$625,980.79",5.32%,"$925,659.80",1.15%,"$270,777.69","$1,365.00","$40,950.00","$40,500.00","$998,504.98","-$188,825.19",538.48%,"$624,524.46"
"4224 Dymic Way, Sacramento, CA 95838","$465,000",3,2,"1,410",$329.79,Dymic Way,Sacramento,95838,38.6449061,-121.4416707,"5,227",,$0,$0,6.81%,"$16,275.00","$93,000","$372,000",360,"$2,427.64","$501,950.46",7.85%,"$1,094,854.23",1.15%,"$217,126.45","$1,411.00","$42,330.00","$42,300.00","$819,981.90","$181,872.33",538.48%,"$500,782.68"
"9989 Bexley Dr, Sacramento, CA 95827","$365,000",3,2,"1,514",$241.08,Bexley Dr,Sacramento,95827,38.571283,-121.3212777,"5,972",,$0,$0,6.81%,"$12,775.00","$73,000","$292,000",360,"$1,905.57","$394,004.12",6.53%,"$715,384.61",1.15%,"$170,432.59","$1,388.00","$41,640.00","$45,420.00","$664,271.71","-$21,887.09",538.48%,"$393,087.48"
"1338 Nogales St, Sacramento, CA 95838","$399,000",2,1,"1,100",$362.73,Nogales St,Sacramento,95838,38.6313396,-121.4358563,"6,970",,$0,$0,6.81%,"$13,965.00","$79,800","$319,200",360,"$2,083.07","$430,705.88",7.85%,"$939,455.57",1.15%,"$186,308.50","$1,411.00","$42,330.00","$33,000.00","$706,309.37","$153,346.19",538.48%,"$429,703.84"
"6666 Villa Juares Cir, Sacramento, CA 95828","$590,000",5,3,"2,113",$279.22,Villa Juares Cir,Sacramento,95828,38.5089171,-121.4257461,"16,117",,$0,$0,6.81%,"$20,650.00","$118,000","$472,000",360,"$3,080.23","$636,883.37",6.69%,"$1,184,219.66",1.15%,"$275,493.77","$1,415.00","$42,450.00","$63,390.00","$1,038,867.14","$27,352.52",538.48%,"$635,401.67"
"7741 Telfer Way, Sacramento, CA 95823","$350,000",3,2,961,$364.20,Telfer Way,Sacramento,95823,38.4768633,-121.4351947,"6,970",,$0,$0,6.81%,"$12,250.00","$70,000","$280,000",360,"$1,827.26","$377,812.17",7.31%,"$767,171.22",1.15%,"$163,428.51","$1,430.00","$42,900.00","$28,830.00","$625,220.68","$71,950.54",538.48%,"$376,933.20"
"1961 Danvers Way, Sacramento, CA 95832","$355,000",3,2,"1,018",$348.72,Danvers Way,Sacramento,95832,38.4778694,-121.4922818,"6,970",,$0,$0,6.81%,"$12,425.00","$71,000","$284,000",360,"$1,853.36","$383,209.49",7.32%,"$779,237.80",1.15%,"$165,763.20","$1,422.00","$42,660.00","$30,540.00","$634,597.69","$73,640.11",538.48%,"$382,317.96"
"5633 Revelstok Dr, Sacramento, CA 95842","$450,000",4,2,"1,269",$354.61,Revelstok Dr,Sacramento,95842,38.6705015,-121.3585634,"6,098",,$0,$0,6.81%,"$15,750.00","$90,000","$360,000",360,"$2,349.33","$485,758.51",7.08%,"$955,975.51",1.15%,"$210,122.37","$1,421.00","$42,630.00","$38,070.00","$792,330.87","$73,644.64",538.48%,"$484,628.40"
"9603 Del Seis Dr, Sacramento, CA 95829","$669,950",4,3,"2,629",$254.83,Del Seis Dr,Sacramento,95829,38.4597627,-121.3388069,"5,512",,$171,"$61,560",6.81%,"$23,448.25","$133,990","$535,960",360,"$3,497.63","$723,186.47",5.83%,"$1,170,876.60",1.15%,"$312,825.51","$1,399.00","$41,970.00","$78,870.00","$1,241,860.23","-$204,973.63",538.48%,"$721,503.99"
"8282 Cabochon Way, Sacramento, CA 95829","$798,000",4,3,"2,803",$284.69,Cabochon Way,Sacramento,95829,38.4572745,-121.3238134,"8,551",,$0,$0,6.81%,"$27,930.00","$159,600","$638,400",360,"$4,166.14","$861,411.75",5.83%,"$1,394,670.54",1.15%,"$372,617.00","$1,399.00","$41,970.00","$84,090.00","$1,388,018.75","-$152,948.21",538.48%,"$859,407.69"
"3709 Crocker Dr, Sacramento, CA 95818","$1,099,900",4,4,"3,168",$347.19,Crocker Dr,Sacramento,95818,38.5406144,-121.4816017,"2,400",,$127,"$45,720",6.81%,"$38,496.50","$219,980","$879,920",360,"$5,742.28","$1,187,301.73",5.16%,"$1,702,746.80",1.15%,"$513,585.76","$1,386.00","$41,580.00","$95,040.00","$1,921,723.99","-$438,957.19",538.48%,"$1,184,539.49"
"170 Audubon Cir, Sacramento, CA 95831","$1,000,000",6,5,"4,319",$231.54,Audubon Cir,Sacramento,95831,38.4990955,-121.557294,"13,068",,$0,$0,6.81%,"$35,000.00","$200,000","$800,000",360,"$5,220.73","$1,079,463.35",5.32%,"$1,596,240.38",1.15%,"$466,938.59","$1,365.00","$40,950.00","$129,570.00","$1,751,921.94","-$355,681.56",538.48%,"$1,076,951.99"
"27 Parklite Cir, Sacramento, CA 95831","$788,888",3,3,"2,122",$371.77,Parklite Cir,Sacramento,95831,38.5051838,-121.5280545,"9,148",,$0,$0,6.81%,"$27,611.08","$157,778","$631,110",360,"$4,118.57","$851,575.68",5.32%,"$1,259,254.88",1.15%,"$368,362.25","$1,365.00","$40,950.00","$63,660.00","$1,352,159.01","-$250,681.73",538.48%,"$849,594.50"
"24 Sage River Cir, Sacramento, CA 95831","$752,500",3,3,"2,371",$317.38,Sage River Cir,Sacramento,95831,38.4976932,-121.5392081,"8,764",,$63,"$22,680",6.81%,"$26,337.50","$150,500","$602,000",360,"$3,928.60","$812,296.17",5.32%,"$1,201,170.89",1.15%,"$351,371.29","$1,365.00","$40,950.00","$71,130.00","$1,324,764.96","-$274,094.07",538.48%,"$810,406.37"
"5441 Michael Way, Sacramento, CA 95822","$424,900",2,1,910,$466.92,Michael Way,Sacramento,95822,38.5256537,-121.4973543,"6,098",,$0,$0,6.81%,"$14,871.50","$84,980","$339,920",360,"$2,218.29","$458,663.98",6.48%,"$826,622.95",1.15%,"$198,402.21","$1,398.00","$41,940.00","$27,300.00","$741,177.68",$465.26,538.48%,"$457,596.90"
"521 Exchange St, Sacramento, CA 95838","$429,500",3,2,937,$458.38,Exchange St,Sacramento,95838,38.6596131,-121.4540152,"9,243",,$0,$0,6.81%,"$15,032.50","$85,900","$343,600",360,"$2,242.30","$463,629.51",7.85%,"$1,011,268.59",1.15%,"$200,550.13","$1,411.00","$42,330.00","$28,110.00","$749,652.13","$175,716.45",538.48%,"$462,550.88"
"7788 Tigerwoods Dr, Sacramento, CA 95829","$1,069,000",5,4,"3,786",$282.36,Tigerwoods Dr,Sacramento,95829,38.4760342,-121.3102386,"9,845",,$0,$0,6.81%,"$37,415.00","$213,800","$855,200",360,"$5,580.96","$1,153,946.32",5.83%,"$1,868,299.26",1.15%,"$499,157.35","$1,399.00","$41,970.00","$113,580.00","$1,846,068.67","-$191,569.42",538.48%,"$1,151,261.68"
"9034 Durness Way, Sacramento, CA 95829","$518,888",3,2,"1,495",$347.08,Durness Way,Sacramento,95829,38.4622735,-121.3617671,"6,050",,$0,$0,6.81%,"$18,161.08","$103,778","$415,110",360,"$2,708.97","$560,120.58",5.83%,"$906,864.42",1.15%,"$242,288.83","$1,399.00","$41,970.00","$44,850.00","$907,390.49","-$104,303.67",538.48%,"$558,817.46"
"624 Santiago Ave, Sacramento, CA 95815","$285,000",1,1,583,$488.85,Santiago Ave,Sacramento,95815,38.6118586,-121.452425,"6,098",,$0,$0,6.81%,"$9,975.00","$57,000","$228,000",360,"$1,487.91","$307,647.05",8.34%,"$713,265.53",1.15%,"$133,077.50","$1,421.00","$42,630.00","$17,490.00","$510,819.55","$145,445.97",538.48%,"$306,931.32"
"9581 Ballinger Dr, Sacramento, CA 95829","$579,900",4,2,"1,794",$323.24,Ballinger Dr,Sacramento,95829,38.4887713,-121.3403509,"6,582",,$0,$0,6.81%,"$20,296.50","$115,980","$463,920",360,"$3,027.50","$625,980.79",5.83%,"$1,013,495.55",1.15%,"$270,777.69","$1,399.00","$41,970.00","$53,820.00","$1,012,844.98","-$115,329.44",538.48%,"$624,524.46"
"915 30th, Sacramento, CA 95816","$888,000",5,2,"2,400",$370.00,30th,Sacramento,95816,38.5737001,-121.4660399,"3,049",,$0,$0,6.81%,"$31,080.00","$177,600","$710,400",360,"$4,636.01","$958,563.45",5.32%,"$1,416,282.32",1.15%,"$414,641.47","$1,377.00","$41,310.00","$72,000.00","$1,517,594.92","-$278,912.60",538.48%,"$956,333.37"
"8593 Derlin Way, Sacramento, CA 95823","$519,000",3,3,"1,436",$361.42,Derlin Way,Sacramento,95823,38.4470962,-121.4265484,"4,910",,$0,$0,6.81%,"$18,165.00","$103,800","$415,200",360,"$2,709.56","$560,241.48",7.31%,"$1,137,605.32",1.15%,"$242,341.13","$1,430.00","$42,900.00","$43,080.00","$906,727.61","$127,077.72",538.48%,"$558,938.08"
