FULL_ADDRESS,PRICE,BEDS,BATHS,SQUARE_FEET,PRICE_PER_SQFT,STREET,CITY,ZIP_CODE,LATITUDE,LONGITUDE,LOT_SIZE,YEAR_BUILT,HOA_PER_MONTH,HOA_30_YEARS,MORTGAGE_RATE_24_APRIL_2025,CLOSING_COST,DOWNPAYMENT_20PERCENT,LOAN_AMOUNT,LOAN_TENURE_MONTHS,MONTHLY_EMI,TOTAL_INTEREST_30_YEARS,AVERAGE_YEARLY_ZHVI_PERCENTAGE_CHANGE,ESTIMATED_HOME_VALUE_APPRECIATED_AFTER_30_YEARS,ANNUAL_PROPERTY_TAXES,ESTIMATED_PROPERTY_TAXES_AFTER_30_YEARS,AVERAGE_ANNUAL_INSURANCE_COST,ESTIMATED_INSURANCE_COST_AFTER_30_YEARS,ESTIMATED_HOME_MAINTENANCE_AFTER_30_YEARS,TOTAL_COSTS_AFTER_30_YEARS,ESTIMATED_NET_VALUE_GAIN_AFTER_30_YEARS,REITS_INVESTMENT_30_YEARS_WITH_COMPOUNDING_INTEREST,ESTIMATED_FTSE_NAREIT_30_YEARS_RETURNS
"1720 S Marguerita Ave, Alhambra, CA 91803","$1,100,000",4,2,"1,728",$636.57,S Marguerita Ave,Alhambra,91803,34.074089,-118.137844,"6,140",1956,$0,$0,6.81%,"$38,500.00","$220,000","$880,000",360,"$5,742.80","$1,187,409.68",6.76%,"$2,230,790.47",1.18%,"$526,573.67","$1,491.00","$44,730.00","$51,840.00","$1,849,053.35","$161,737.12",538.48%,"$1,184,647.19"
"333 N Chapel Ave, Alhambra, CA 91801","$2,980,000",10,7,"5,699",$522.90,N Chapel Ave,Alhambra,91801,34.1001445,-118.1264491,"7,943",1970,$0,$0,6.81%,"$104,300.00","$596,000","$2,384,000",360,"$15,557.78","$3,216,800.77",6.56%,"$5,861,453.96",1.18%,"$1,426,535.94","$1,483.00","$44,490.00","$170,970.00","$4,963,096.71","$302,357.25",538.48%,"$3,209,316.93"
"2209 W Glendon Way, Alhambra, CA 91803","$929,000",2,1,932,$996.78,W Glendon Way,Alhambra,91803,34.0739893,-118.1480574,"2,008",1931,$0,$0,6.81%,"$32,515.00","$185,800","$743,200",360,"$4,850.06","$1,002,821.45",6.76%,"$1,884,003.95",1.18%,"$444,715.40","$1,491.00","$44,730.00","$27,960.00","$1,552,741.85","$145,462.10",538.48%,"$1,000,488.40"
"1012 Geranio Dr, Alhambra, CA 91801","$895,000",3,2,"1,185",$755.27,Geranio Dr,Alhambra,91801,34.0840349,-118.1092831,"5,946",1948,$0,$0,6.81%,"$31,325.00","$179,000","$716,000",360,"$4,672.55","$966,119.70",6.56%,"$1,760,403.12",1.18%,"$428,439.48","$1,483.00","$44,490.00","$35,550.00","$1,505,924.18","$75,478.94",538.48%,"$963,872.03"
"100 N Electric Ave #5, Alhambra, CA 91801","$838,888",2,2,"1,492",$562.26,N Electric Ave #5,Alhambra,91801,34.0932466,-118.1391926,"40,506",1982,$293,"$105,480",6.81%,"$29,361.08","$167,778","$671,110",360,"$4,379.61","$905,548.85",6.56%,"$1,650,034.69",1.18%,"$401,578.48","$1,483.00","$44,490.00","$44,760.00","$1,531,218.41","-$48,961.32",538.48%,"$903,442.10"
"2231 Cedar St Unit G, Alhambra, CA 91801","$750,000",3,3,"1,370",$547.45,Cedar St Unit G,Alhambra,91801,34.0945013,-118.148155,"17,136",1984,$200,"$72,000",6.81%,"$26,250.00","$150,000","$600,000",360,"$3,915.55","$809,597.51",6.56%,"$1,475,198.14",1.18%,"$359,027.50","$1,483.00","$44,490.00","$41,100.00","$1,352,465.01","-$27,266.87",538.48%,"$807,713.99"
"801 S Atlantic Blvd, Alhambra, CA 91803","$1,750,000",10,6,"4,573",$382.68,S Atlantic Blvd,Alhambra,91803,34.0835708,-118.1348667,"7,074",1963,$0,$0,6.81%,"$61,250.00","$350,000","$1,400,000",360,"$9,136.28","$1,889,060.86",6.76%,"$3,548,984.83",1.18%,"$837,730.84","$1,491.00","$44,730.00","$137,190.00","$2,969,961.69","$229,023.14",538.48%,"$1,884,665.98"
"83 E Commonwealth Ave Ph -C, Alhambra, CA 91801","$755,000",2,2,"1,310",$576.34,E Commonwealth Ave Ph -C,Alhambra,91801,34.0932104,-118.1238366,"29,589",2006,$399,"$143,640",6.81%,"$26,425.00","$151,000","$604,000",360,"$3,941.65","$814,994.83",6.56%,"$1,485,032.80",1.18%,"$361,421.02","$1,483.00","$44,490.00","$39,300.00","$1,430,270.84","-$96,238.05",538.48%,"$813,098.75"
"409 Los Higos St, Alhambra, CA 91801","$880,000",2,2,"1,040",$846.15,Los Higos St,Alhambra,91801,34.0859004,-118.1177591,"3,687",1955,$0,$0,6.81%,"$30,800.00","$176,000","$704,000",360,"$4,594.24","$949,927.74",6.56%,"$1,730,899.16",1.18%,"$421,258.93","$1,483.00","$44,490.00","$31,200.00","$1,477,676.68","$77,222.48",538.48%,"$947,717.75"
"1217 Saint Charles, Alhambra, CA 91801","$1,638,000",5,3,"2,395",$683.92,Saint Charles,Alhambra,91801,34.0958204,-118.1363834,"8,636",1912,$0,$0,6.81%,"$57,330.00","$327,600","$1,310,400",360,"$8,551.56","$1,768,160.96",6.56%,"$3,221,832.75",1.18%,"$784,116.06","$1,483.00","$44,490.00","$71,850.00","$2,725,947.02","$168,285.72",538.48%,"$1,764,047.36"
